anio,mes,indice_tiempo,empresa,produccion_gas_promedio_dia_mm3
2009,5,2009-05,ENAP SIPETROL ARGENTINA S.A.,1907.06709677419
2009,5,2009-05,ENARSA ENERGIA ARGENTINA S.A.,0
2009,5,2009-05,ENERGIAL S.A.,0
2009,5,2009-05,EPSUR S.A.,10.6201290322581
2009,5,2009-05,EZ HOLDINGS S.A.,0
2009,5,2009-05,GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA),4.29741935483871
2009,5,2009-05,GRECOIL y CIA. S.R.L.,0.470967741935484
2009,5,2009-05,INGENIERIA ALPA S.A.,2.7291935483871
2009,5,2009-05,INTERENERGY ARGENTINA S.A.,0.0645161290322581
2009,5,2009-05,MADALENA ENERGY ARGENTINA SRL ,12.0225806451613
2009,5,2009-05,MADALENA PETROLEUM (AMERICAS) LTD. (SUCURSAL ARGENTINA),229.217225806452
2009,5,2009-05,MEDANITO S.A.,326
2009,5,2009-05,MISAHAR ARGENTINA S.A.,0.222483870967742
2009,5,2009-05,NECON S.A.,0
2009,5,2009-05,"OCCIDENTAL ARGENTINA EXPLORATION AND PRODUCTION, INC.",2009.18896774194
2009,5,2009-05,OIL M&S S.A.,0
2009,5,2009-05,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,17455.0506451613
2009,5,2009-05,PETRO ANDINA RESOURCES LTD.,131.649677419355
2009,5,2009-05,PETROBRAS ARGENTINA S.A.,12544.8291290323
2009,5,2009-05,PETROFARO S.A.,1.45548387096774
2009,5,2009-05,PETROLEOS SUDAMERICANOS S.A.,28.901935483871
2009,5,2009-05,PETROLERA EL TREBOL S.A.,7.02987096774194
2009,5,2009-05,PETROLERA ENTRE LOMAS S.A.,999.725483870968
2009,5,2009-05,PETROLERA LF COMPANY S.R.L.,4454.59032258065
2009,5,2009-05,PETROLERA PATAGONIA S.R.L.,0
2009,5,2009-05,PETROLERA PIEDRA DEL AGUILA S.A.,31.8411290322581
2009,5,2009-05,PETROLERA SAN JOSE S.R.L.,8.02483870967742
2009,5,2009-05,PETROMINERA CHUBUT S.E.,0
2009,5,2009-05,PETROQUIMICA COMODORO RIVADAVIA S.A.,673.806451612903
2009,5,2009-05,PLUSPETROL ENERGY S.A.,5816.55764516129
2009,5,2009-05,PLUSPETROL S.A.,4291.48987096774
2009,5,2009-05,ROCH S.A.,863.767419354839
2009,5,2009-05,SAN JORGE PETROLEUM S.A.,9.61777419354839
2009,5,2009-05,TECPETROL S.A.,5016.96351612903
2009,5,2009-05,TOTAL AUSTRAL S.A.,35824.9864193548
2009,5,2009-05,YPF S.A.,34956.1580177419
2009,6,2009-06,ALIANZA PETROLERA ARGENTINA S.A.,0
2009,6,2009-06,APACHE ENERGIA ARGENTINA S.R.L.,3816.23333333333
2009,6,2009-06,APACHE PETROLERA ARGENTINA S.A.,22.73
2009,6,2009-06,APCO ARGENTINA INC.,0
2009,6,2009-06,ARGENTA ENERGIA S.A.,0
2009,6,2009-06,CAPEX S.A.,1885.691
2009,6,2009-06,CENTRAL INTERNATIONAL CORPORATION (SUCURSAL ARGENTINA),19.8
2009,6,2009-06,CHAÑARES ENERGIA S.A.,18.0537
2009,6,2009-06,CHEVRON ARGENTINA S.R.L.,1910.64733333333
2009,6,2009-06,CLEAR S.R.L.,19.0849333333333
2009,6,2009-06,COLHUE HUAPI S.A.,16.6966666666667
2009,6,2009-06,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,39.7946666666667
2009,6,2009-06,COMPAÑÍAS ASOCIADAS PETROLERAS S.A.,84.8666666666667
2009,6,2009-06,"CRI HOLDING, INC.",1.1748
2009,6,2009-06,DAPETROL S.A.,0
2009,6,2009-06,EHRENCAP S.A.,0
2009,6,2009-06,ENAP SIPETROL ARGENTINA S.A.,2107.509
2009,6,2009-06,ENARSA ENERGIA ARGENTINA S.A.,0
2009,6,2009-06,ENERGIAL S.A.,0
2009,6,2009-06,EPSUR S.A.,10.6637666666667
2009,6,2009-06,EZ HOLDINGS S.A.,0
2009,6,2009-06,GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA),4.22233333333333
2009,6,2009-06,GRECOIL y CIA. S.R.L.,0.667333333333333
2009,6,2009-06,INGENIERIA ALPA S.A.,28.4153333333333
2009,6,2009-06,INTERENERGY ARGENTINA S.A.,0.05
2009,6,2009-06,MADALENA ENERGY ARGENTINA SRL ,6.46666666666667
2009,6,2009-06,MADALENA PETROLEUM (AMERICAS) LTD. (SUCURSAL ARGENTINA),207.711266666667
2009,6,2009-06,MEDANITO S.A.,356.066666666667
2009,6,2009-06,MISAHAR ARGENTINA S.A.,0
2009,6,2009-06,NECON S.A.,0
2009,6,2009-06,"OCCIDENTAL ARGENTINA EXPLORATION AND PRODUCTION, INC.",1735.33988666667
2009,6,2009-06,OIL M&S S.A.,0
2009,6,2009-06,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,17514.874
2009,6,2009-06,PETRO ANDINA RESOURCES LTD.,148.485666666667
2009,6,2009-06,PETROBRAS ARGENTINA S.A.,13339.8774
2009,6,2009-06,PETROFARO S.A.,0
2009,6,2009-06,PETROLEOS SUDAMERICANOS S.A.,28.5633333333333
2009,6,2009-06,PETROLERA EL TREBOL S.A.,7.2242
2009,6,2009-06,PETROLERA ENTRE LOMAS S.A.,998.545333333333
2009,6,2009-06,PETROLERA LF COMPANY S.R.L.,5039.76666666667
2009,6,2009-06,PETROLERA PATAGONIA S.R.L.,0
2009,6,2009-06,PETROLERA PIEDRA DEL AGUILA S.A.,29.7537
2009,6,2009-06,PETROLERA SAN JOSE S.R.L.,7.82766666666667
2009,6,2009-06,PETROMINERA CHUBUT S.E.,0
2009,6,2009-06,PETROQUIMICA COMODORO RIVADAVIA S.A.,690.516
2009,6,2009-06,PLUSPETROL ENERGY S.A.,6084.86546666667
2009,6,2009-06,PLUSPETROL S.A.,4195.73886666667
2009,6,2009-06,ROCH S.A.,969.657066666667
