anio,mes,indice_tiempo,cuenca,produccion_petroleo_promedio_dia_m3
2014,3,2014-03,GOLFO SAN JORGE,41708.0828064516
2014,3,2014-03,LAS SALINAS,0
2014,3,2014-03,LOS BOLSONES,0
2014,3,2014-03,MALVINAS,0
2014,3,2014-03,NEUQUINA,33642.1027487794
2014,3,2014-03,ÑIRIHUAU,0
2014,3,2014-03,NORESTE,0
2014,3,2014-03,NOROESTE,1213.73674193548
2014,4,2014-04,AUSTRAL,3289.91895543333
2014,4,2014-04,CAÑADON ASFALTO,0
2014,4,2014-04,CUYANA,4667.15253333333
2014,4,2014-04,DEL COLORADO,0
2014,4,2014-04,FUERA DE CUENCA,0
2014,4,2014-04,GENERAL LEVALLE,0
2014,4,2014-04,GOLFO SAN JORGE,41259.4443
2014,4,2014-04,LAS SALINAS,0
2014,4,2014-04,LOS BOLSONES,0
2014,4,2014-04,MALVINAS,0
2014,4,2014-04,NEUQUINA,31452.340906931
2014,4,2014-04,ÑIRIHUAU,0
2014,4,2014-04,NORESTE,0
2014,4,2014-04,NOROESTE,1157.03733333333
2014,5,2014-05,AUSTRAL,3675.5902276129
2014,5,2014-05,CAÑADON ASFALTO,0
2014,5,2014-05,CUYANA,4662.05358064516
2014,5,2014-05,DEL COLORADO,0
2014,5,2014-05,FUERA DE CUENCA,0
2014,5,2014-05,GENERAL LEVALLE,0
2014,5,2014-05,GOLFO SAN JORGE,41229.3666774194
2014,5,2014-05,LAS SALINAS,0
2014,5,2014-05,LOS BOLSONES,0
2014,5,2014-05,MALVINAS,0
2014,5,2014-05,NEUQUINA,33297.7802998997
2014,5,2014-05,ÑIRIHUAU,0
2014,5,2014-05,NORESTE,0
2014,5,2014-05,NOROESTE,1148.94622580645
2014,6,2014-06,AUSTRAL,3746.8236084
2014,6,2014-06,CAÑADON ASFALTO,0
2014,6,2014-06,CUYANA,4712.08143333333
2014,6,2014-06,DEL COLORADO,0
2014,6,2014-06,FUERA DE CUENCA,0
2014,6,2014-06,GENERAL LEVALLE,0
2014,6,2014-06,GOLFO SAN JORGE,40923.2623333333
2014,6,2014-06,LAS SALINAS,0
2014,6,2014-06,LOS BOLSONES,0
2014,6,2014-06,MALVINAS,0
2014,6,2014-06,NEUQUINA,33716.4824764157
2014,6,2014-06,ÑIRIHUAU,0
2014,6,2014-06,NORESTE,0
2014,6,2014-06,NOROESTE,1186.04473333333
