anio,mes,indice_tiempo,cuenca,produccion_gas_promedio_dia_mm3
2014,6,2014-06,FUERA DE CUENCA,0
2014,6,2014-06,GENERAL LEVALLE,0
2014,6,2014-06,GOLFO SAN JORGE,14414.3112632145
2014,6,2014-06,LAS SALINAS,0
2014,6,2014-06,LOS BOLSONES,0
2014,6,2014-06,MALVINAS,0
2014,6,2014-06,NEUQUINA,63720.4975263337
2014,6,2014-06,ÑIRIHUAU,0
2014,6,2014-06,NORESTE,0
2014,6,2014-06,NOROESTE,7915.44513333333
2014,7,2014-07,AUSTRAL,28458.9320645161
2014,7,2014-07,CAÑADON ASFALTO,0
2014,7,2014-07,CUYANA,156.196470967742
