anio,mes,indice_tiempo,provincia,produccion_gas_promedio_dia_mm3
2012,12,2012-12,Chubut,9138.96748778484
2012,12,2012-12,Estado Nacional,13855.5087096774
2012,12,2012-12,Formosa,84.0932258064516
2012,12,2012-12,Jujuy,13.4103225806452
2012,12,2012-12,La Pampa,1124.27438709677
2012,12,2012-12,La Rioja,0
2012,12,2012-12,Mendoza,6424.25221387097
2012,12,2012-12,Neuquén,49385.7696774194
2012,12,2012-12,Rio Negro,4601.173
2012,12,2012-12,Salta,9452.75835483871
2012,12,2012-12,San Juan,0
2012,12,2012-12,Santa Cruz,11196.4722880645
2012,12,2012-12,Tierra del Fuego,10109.6970967742
2013,1,2013-01,Chubut,9123.6321208
2013,1,2013-01,Estado Nacional,13435.4676129032
2013,1,2013-01,Formosa,83.22
2013,1,2013-01,Jujuy,13.4048387096774
2013,1,2013-01,La Pampa,989.429935483871
2013,1,2013-01,La Rioja,0
2013,1,2013-01,Mendoza,6593.14114096484
